symbol,date,open,high,low,close,volume,sources
BTC,2025-07-08,108298.2289745801,109198.9716164064,107499.5564675773,108950.2755431898,44282204126.95,1
BTC,2025-07-09,108952.6627715949,112077.21,108341.92,111309.12563452759,30052684748.690002,2
BTC,2025-07-10,111310.4479904738,116848.31,110555.52,116005.2730984225,49764162527.825,2
BTC,2025-07-11,115986.2347970836,118890.32,108369.0,117516.9936684245,56204086624.04028,3
BTC,2025-07-12,117552.3164478631,118239.99,116954.09,117451.69502657556,23197229960.675,2
BTC,2025-07-13,117450.18042293206,119503.56,117264.6,119121.88877462335,25077230037.45,2
BTC,2025-07-14,119121.72375482065,123220.28,118951.55,119859.35786015735,92765597161.255,2
BTC,2025-07-15,119853.8484758277,122838.0,115548.0,117777.9,68915956378.80447,3
BTC,2025-07-16,117777.5444973878,120122.22,117043.92,118719.438019472,37736441140.125,2
BTC,2025-07-17,118719.438019472,121020.95,117485.98,119286.29109589745,37682187293.909996,2
BTC,2025-07-18,119283.42589546945,120911.16,116902.92,118014.57224776334,40521069595.035,2
BTC,2025-07-19,118025.92,120689.0,116094.0,117939.9787390508,47564562764.75,3
BTC,2025-07-20,117928.6896212612,118903.91,116533.22,117314.69787014385,29298467708.835,2
BTC,2025-07-21,117317.53849106435,119712.2,116581.7,117440.6429002138,36003964012.409996,2
BTC,2025-07-22,117434.1240766996,120298.65,116186.23,120009.45777591685,40912561826.835,2
BTC,2025-07-23,119997.4426914491,120222.0,116779.0,118808.78,58939000420.94166,3
BTC,2025-07-24,118789.8807422996,119555.88,117214.42,118382.6666245888,37377829320.2,2
BTC,2025-07-25,118382.6666245888,118523.27,114756.37,117639.9955379688,55201921390.275,2
BTC,2025-07-26,117644.4770312608,118355.11,117143.68,117959.3181211018,24900125422.155,2
BTC,2025-07-27,117971.27,119959.0,115086.0,119448.4903295397,25145925063.881348,3
BTC,2025-07-28,119463.1159754711,119835.44,117403.28,117992.19647635755,33482841827.760002,2
BTC,2025-07-29,117999.25217963825,119285.96,116933.73,117932.12891845114,35268463939.135,2
BTC,2025-07-30,117932.052042964,118800.1,115769.47,117842.2456923117,35524736801.025,2
BTC,2025-07-31,117853.3,119754.0,115493.77,115765.36,43054424656.58649,3
BTC,2025-08-01,115752.15760612409,116060.7726221091,112682.82,113291.7829861514,47573124704.990005,2
BTC,2025-08-02,113291.93717878465,114033.98,112005.7690998997,112536.61732125556,29139237824.315,2
BTC,2025-08-03,112536.06166456646,114803.51,111925.95,114228.25148455215,24523406131.4,2
BTC,2025-08-04,114238.83,118865.0,112113.0,115065.9,24689273719.085533,3
BTC,2025-08-05,115069.04227887114,115117.435936834,112629.49,114134.5358641757,31482443323.29,2
BTC,2025-08-06,114134.2717898572,115748.22,113364.73,115033.2232066844,29019381846.14,2
BTC,2025-08-07,115034.2511135235,117690.87,114279.7120182548,117509.58869838805,32977840079.59,2
BTC,2025-08-08,117505.4973904093,117698.38,112770.0,116692.86,38289687095.00489,3
BTC,2025-08-09,116685.56784490819,117940.29,116360.05,116500.82102899725,27465435666.515,2
BTC,2025-08-10,116499.49828820475,119320.76,116485.1660488103,119309.2307109103,33002202562.805,2
BTC,2025-08-11,119309.25538268164,122321.0974354062,118106.91,118723.0135163576,46807662216.229996,2
BTC,2025-08-12,118714.58,122227.0,115979.0,120128.24,61739781527.95854,3
BTC,2025-08-13,120148.6088511985,123735.38,118939.6312946595,123359.30990282435,47112952867.43,2
BTC,2025-08-14,123356.97769392814,124532.7,117241.12,118375.58528526564,54152491468.525,2
BTC,2025-08-15,118378.6871955851,119335.93,116864.5734769494,117419.21899148425,35496255655.735,2
BTC,2025-08-16,117440.09,124128.0,116956.0,117469.52,44268714220.021,3
BTC,2025-08-17,117481.15429109655,118639.81,117268.69,117470.53135502044,23321684983.43,2
BTC,2025-08-18,117470.95319283125,117627.66,114716.49,116272.2309679264,37711213378.63,2
BTC,2025-08-19,116267.00327490894,116789.95,112730.3986887454,112850.9229971761,37332226051.450005,2
BTC,2025-08-20,112870.67,118514.0,112387.14,114274.7407842478,46156885037.403885,3
BTC,2025-08-21,114283.52707383959,114816.84,111986.2347013088,112455.4337500844,30037309477.245003,2
BTC,2025-08-22,112462.78539161634,117428.1,111675.14,116891.93873583915,42894565441.905,2
BTC,2025-08-23,116888.07891868734,117003.31,114533.54,115383.0455965065,28166227174.84,2
BTC,2025-08-24,115387.3913229719,117310.0,110860.71,113486.67,27306719885.257973,3
